id,name,city,country,latitude,longitude,sports
place_0,Academia Club A Fitness,Rio de Janeiro,BR,-22.970587,-43.701266,Gymnastics Center
place_1,Academia Amplitude,Unknown,BR,-22.969378,-43.698038,Gym and Studio
place_10,Campo do Aníbal,Rio de Janeiro,BR,-22.972049,-43.638086,Soccer Field
place_100,Espaço Você,Rio de Janeiro,BR,-22.996194,-43.409739,Gym and Studio
place_1000,Bar Papo de Esquina,Unknown,BR,-22.844188,-43.311861,Sports Bar
place_1001,Clube GRAG,Rio de Janeiro,BR,-22.824181,-43.317464,Sports Bar
place_1002,Chap London,Unknown,BR,-22.840572,-43.304374,"Sports Bar, Restaurant"
place_1003,Academia Top Fit,Rio de Janeiro,BR,-22.841969,-43.26709,Gym and Studio
place_1004,Academia Animal King,Rio de Janeiro,BR,-22.865025,-43.30195,Gym and Studio
place_1005,Academia New Corpore,Rio de Janeiro,BR,-22.839587,-43.298078,Gym and Studio
place_1006,Academia TOP FIT,Rio de Janeiro,BR,-22.851016,-43.254763,Gym and Studio
place_1007,Arte do Corpo Academia,Rio de Janeiro,BR,-22.829968,-43.287311,Gym and Studio
place_1008,Academia Cripal,Rio de Janeiro,BR,-22.845841,-43.261663,Education
place_1009,Academia Tribe Gym,Rio de Janeiro,BR,-22.849793,-43.269723,Gym and Studio
place_101,Academia Espaço Físico,Rio de Janeiro,BR,-22.968727,-43.413903,Gym and Studio
place_1010,Academia R2 Fitness,Rio de Janeiro,BR,-22.852039,-43.266014,Gym and Studio
place_1011,Academia Adrenalina Fitness Ltda,Rio de Janeiro,BR,-22.834501,-43.27312,Gym and Studio
place_1012,Quadra Azul,Rio de Janeiro,BR,-22.848766,-43.262549,Soccer Field
place_1013,Academia Corpo Perfeito,Rio de Janeiro,BR,-22.81677,-43.31346,Pilates Studio
place_1014,Academia Evolution,Rio de Janeiro,BR,-22.845604,-43.338864,Gym and Studio
place_1015,Academia R2 Fitness,Rio de Janeiro,BR,-22.854297,-43.260486,Gym and Studio
place_1016,Academia KF,Rio de Janeiro,BR,-22.892482,-43.300728,Gym and Studio
place_1017,Top Kart Indoor,Rio de Janeiro,BR,-22.878752,-43.270731,Race Track
place_1018,Adidas Outlet Store,Rio de Janeiro,BR,-22.878688,-43.272047,Sporting Goods Retail
place_1019,Studio de Dança Ra'idah,Rio de Janeiro,BR,-22.842903,-43.335412,Dance Studio
place_102,Piscina do condomínio Ventanas,Rio de Janeiro,BR,-22.999692,-43.417664,Swimming Pool
place_1020,Academia Up Fit,Rio de Janeiro,BR,-22.839264,-43.276558,Gym and Studio
place_1021,Academia Folego & Força,Rio de Janeiro,BR,-22.888249,-43.323207,Gym and Studio
place_1022,River Futebol Clube,Rio de Janeiro,BR,-22.888856,-43.30522,Soccer Field
place_1023,Vila Olímpica do Encantado,Rio de Janeiro,BR,-22.89465,-43.300153,"Sports and Recreation, Playground"
place_1024,Clube dos Suboficiais e Sargentos da Aeronáutica,Rio de Janeiro,BR,-22.818168,-43.221865,Soccer Field
place_1025,Ascaer,Rio de Janeiro,BR,-22.819534,-43.225661,Sports Bar
place_1026,Bar do Jorginho,Rio de Janeiro,BR,-22.847966,-43.25124,Sports Bar
place_1027,Academia Oficina do Corpo,Unknown,BR,-22.849054,-43.245621,Gym and Studio
place_1028,Academia Z2 Fitness,Ramos,BR,-22.843145,-43.250184,Gym and Studio
place_1029,Campo de Futebol,Rio de Janeiro,BR,-22.848741,-43.237711,Soccer Field
place_103,Muay Thai Espigão,Rio de Janeiro,BR,-22.972333,-43.412673,Sports and Recreation
place_1030,Academia Estação do Corpo,Rio de Janeiro,BR,-22.861233,-43.246352,"Education, Gym and Studio"
place_1031,Mello Tênis Clube,Rio de Janeiro,BR,-22.837622,-43.293014,Sports and Recreation
place_1032,Piscina-ICR,Unknown,BR,-22.837843,-43.242844,Swimming Pool
place_1033,Centro de promoção da saúde  do CEPE Fundão,Rio de Janeiro,BR,-22.854188,-43.23389,Gym and Studio
place_1034,Nação Rubro Negra,Rio de Janeiro,BR,-22.815415,-43.246385,Sporting Goods Retail
place_1035,Complexo Sócio Esportivo Délio Jardim de Mattos,Rio de Janeiro,BR,-22.814894,-43.236588,Soccer Field
place_1036,ACT - Academia Carioca de Tiro,Mesquita,BR,-22.819061,-43.221636,Gun Range
place_1037,Academia To's Magro,Rio de Janeiro,BR,-22.813825,-43.229727,Gym and Studio
place_1038,Grupo Familia do Eng. da Rainha,Unknown,BR,-22.869235,-43.293145,Soccer Field
place_1039,Planeta dos Esportes - Ramos,Rio de Janeiro,BR,-22.852828,-43.25581,"Arts and Entertainment, Sports Bar"
place_104,Quadra de tênis - London Green,Miguel Pereira,BR,-22.991764,-43.432088,Tennis Court
place_1040,Bar do Xororó,Rio de Janeiro,BR,-22.837394,-43.276576,Sports Bar
place_1041,Jmix Sport,Rio de Janeiro,BR,-22.882715,-43.249939,Clothing Store
place_1042,ZN Clube,Rio de Janeiro,BR,-22.82648,-43.284844,Sports Bar
place_1043,Body Place Academia,Rio de Janeiro,BR,-22.813056,-43.203994,Martial Arts Dojo
place_1044,Associação Crista de Mocos do Rio de Janeiro,Rio de Janeiro,BR,-22.825076,-43.172105,Education
place_1045,Smart Fit,Rio de Janeiro,BR,-22.80592,-43.209406,Gym and Studio
place_1046,Caminhada Praia da Bica,Rio de Janeiro,BR,-22.817449,-43.200586,"Brazilian Restaurant, Hiking Trail, Sports and Recreation"
place_1047,Ciclista da Ilha,Rio de Janeiro,BR,-22.819197,-43.175415,Bicycle Store
place_1048,ProQuality Fitness Center,Rio de Janeiro,BR,-22.808022,-43.211588,Gym and Studio
place_1049,Vila Olímpica do Caju,Rio de Janeiro,BR,-22.880206,-43.228177,Sports and Recreation
place_105,Academia Rota do Sol,Rio de Janeiro,BR,-22.967364,-43.411549,Gym and Studio
place_1050,ACM - Musculação,Rio de Janeiro,BR,-22.824485,-43.172969,Gym and Studio
place_1051,Natação - ACM,Rio de Janeiro,BR,-22.825076,-43.172105,Swim School
place_1052,Estande de Tiro PCERJ,Unknown,BR,-22.874517,-43.228982,Gun Range
place_1053,Seninha,Rio de Janeiro,BR,-22.882588,-43.217508,Gun Range
place_1054,E.S Training - anexo 2,Unknown,BR,-22.820895,-43.173323,Sports and Recreation
place_1055,Campo da Toca,Rio de Janeiro,BR,-22.868081,-43.238362,Soccer Field
place_1056,Academia Brandel'hil,Unknown,BR,-22.869896,-43.237966,Gym and Studio
